g++ -O2 -std=c++20 -pthread -o bin/cpp_thread src/cpp_thread.cpp -lm
Built: cpp_thread
=== Network IDS: C++ Thread (8 threads) ===
Train: 1764525 | Test: 756226 | Features: 52 | Classes: 7

--- SVM Training ---
  SVM(2v3) Epoch 2/200 | Train Errors: 865/8000 | Val Errors: 120/2000
  SVM(2v3) Epoch 3/200 | Train Errors: 768/8000 | Val Errors: 128/2000
  SVM(2v3) Epoch 4/200 | Train Errors: 733/8000 | Val Errors: 121/2000
  SVM(2v3) Epoch 5/200 | Train Errors: 682/8000 | Val Errors: 112/2000
  SVM(2v3) Epoch 6/200 | Train Errors: 702/8000 | Val Errors: 130/2000
  SVM(2v3) Epoch 7/200 | Train Errors: 650/8000 | Val Errors: 143/2000
  SVM(2v3) Epoch 8/200 | Train Errors: 634/8000 | Val Errors: 97/2000
  SVM(2v3) Epoch 9/200 | Train Errors: 594/8000 | Val Errors: 132/2000
  SVM(2v3) Epoch 10/200 | Train Errors: 608/8000 | Val Errors: 126/2000
  SVM(2v3) Epoch 11/200 | Train Errors: 564/8000 | Val Errors: 105/2000
  SVM(2v3) Epoch 12/200 | Train Errors: 566/8000 | Val Errors: 101/2000
  SVM(2v3) Epoch 13/200 | Train Errors: 619/8000 | Val Errors: 248/2000
  SVM(2v3) Epoch 14/200 | Train Errors: 584/8000 | Val Errors: 176/2000
  SVM(2v3) Epoch 15/200 | Train Errors: 554/8000 | Val Errors: 142/2000
  SVM(2v3) Epoch 16/200 | Train Errors: 558/8000 | Val Errors: 131/2000
  SVM(2v3) Epoch 17/200 | Train Errors: 542/8000 | Val Errors: 106/2000
  SVM(2v3) Epoch 18/200 | Train Errors: 536/8000 | Val Errors: 104/2000
  SVM(2v3) Epoch 19/200 | Train Errors: 516/8000 | Val Errors: 132/2000
  SVM(2v3) Epoch 20/200 | Train Errors: 484/8000 | Val Errors: 133/2000
  SVM(2v3) Epoch 21/200 | Train Errors: 508/8000 | Val Errors: 71/2000
  SVM(2v3) Epoch 22/200 | Train Errors: 504/8000 | Val Errors: 95/2000
  SVM(2v3) Epoch 23/200 | Train Errors: 474/8000 | Val Errors: 77/2000
  SVM(2v3) Epoch 24/200 | Train Errors: 525/8000 | Val Errors: 162/2000
  SVM(2v3) Epoch 25/200 | Train Errors: 486/8000 | Val Errors: 143/2000
  SVM(2v3) Epoch 26/200 | Train Errors: 474/8000 | Val Errors: 146/2000
  SVM(2v3) Epoch 27/200 | Train Errors: 498/8000 | Val Errors: 159/2000
  SVM(2v3) Epoch 28/200 | Train Errors: 480/8000 | Val Errors: 140/2000
  SVM(2v3) Epoch 29/200 | Train Errors: 450/8000 | Val Errors: 97/2000
  SVM(2v3) Epoch 30/200 | Train Errors: 470/8000 | Val Errors: 119/2000
  SVM(2v3) Epoch 31/200 | Train Errors: 450/8000 | Val Errors: 60/2000
  SVM(2v3) Epoch 32/200 | Train Errors: 410/8000 | Val Errors: 66/2000
  SVM(2v3) Epoch 33/200 | Train Errors: 416/8000 | Val Errors: 40/2000
  SVM(2v3) Epoch 34/200 | Train Errors: 414/8000 | Val Errors: 72/2000
  SVM(2v3) Epoch 35/200 | Train Errors: 479/8000 | Val Errors: 197/2000
  SVM(2v3) Epoch 36/200 | Train Errors: 440/8000 | Val Errors: 99/2000
  SVM(2v3) Epoch 37/200 | Train Errors: 422/8000 | Val Errors: 107/2000
  SVM(2v3) Epoch 38/200 | Train Errors: 438/8000 | Val Errors: 120/2000
  SVM(2v3) Epoch 39/200 | Train Errors: 422/8000 | Val Errors: 84/2000
  SVM(2v3) Epoch 40/200 | Train Errors: 408/8000 | Val Errors: 53/2000
  SVM(2v3) Epoch 41/200 | Train Errors: 394/8000 | Val Errors: 55/2000
  SVM(2v3) Epoch 42/200 | Train Errors: 402/8000 | Val Errors: 73/2000
  SVM(2v3) Epoch 43/200 | Train Errors: 384/8000 | Val Errors: 74/2000
  SVM(2v3) Epoch 44/200 | Train Errors: 453/8000 | Val Errors: 173/2000
  SVM(2v3) Epoch 45/200 | Train Errors: 418/8000 | Val Errors: 116/2000
  SVM(2v3) Epoch 46/200 | Train Errors: 406/8000 | Val Errors: 116/2000
  SVM(2v3) Epoch 47/200 | Train Errors: 414/8000 | Val Errors: 108/2000
  SVM(2v3) Epoch 48/200 | Train Errors: 386/8000 | Val Errors: 62/2000
  Early stopping at epoch 48 (best val errors=40)
  SVM(2v4) Epoch 1/200 | Train Errors: 278/8000 | Val Errors: 60/2000
  SVM(2v4) Epoch 2/200 | Train Errors: 238/8000 | Val Errors: 117/2000
  SVM(2v4) Epoch 3/200 | Train Errors: 212/8000 | Val Errors: 119/2000
  SVM(2v4) Epoch 4/200 | Train Errors: 213/8000 | Val Errors: 31/2000
